№,Название района[2]/,Название cоответствующего,Адми-,Пло-,Насе-,Плот-,Пло-,Жил-
,поселения[3][4],внутригородского,нистра-,щадь-,ление,ность,щадь,площадь
,,муниципального образования:,тивный,[6][7],2019[8]-,насе-,жилого,на
,,муниципального округа / поселения /,округ,км?,чел.,ления,фонда,чело-
,,городского округа[5],,,,2019,(01.01.,века
,,,,,,чел. / км?,2010)[9]-,(01.01.
,,,,,,,тыс. м?,2010)-
,,,,,,,,м?/чел.
135,Михайлово-Ярцевское- поселение[Прим. 10],Михайлово-Ярцевское- поселение,ТАО,63-47,?5483,86.39,,
136,Московский- поселение[Прим. 11],Московский- поселение,НАО,40-6,?61 224,1507.98,,
137,Мосрентген- поселение[Прим. 12],Мосрентген- поселение,НАО,6-41,?20 736,3234.95,,
138,Новофёдоровское- поселение[Прим. 13],Новофёдоровское- поселение,ТАО,156-75,?6943,44.29,,
139,Первомайское- поселение[Прим. 14],Первомайское- поселение,ТАО,118-94,?8481,71.3,,
140,Роговское- поселение[Прим. 15],Роговское- поселение,ТАО,175-95,?3915,22.25,,
141,Рязановское- поселение[Прим. 16],Рязановское- поселение,НАО,41-41,?20 587,497.15,,
142,Сосенское- поселение[Прим. 17],Сосенское- поселение,НАО,67-07,?30 651,457,,
143,Троицк- поселение[Прим. 18],Троицк- городской округ,ТАО,16-33,?61 079,3740.29,,
144,Филимонковское- поселение[Прим. 19],Филимонковское- поселение,НАО,35-77,?7026,196.42,,
145,Щаповское- поселение[Прим. 20],Щаповское- поселение,ТАО,86-06,?9572,111.22,,
146,Щербинка- поселение[Прим. 21],Щербинка- городской округ,НАО,7-62,?53 281,6992.26,,
