Name,AdmArea,District,Address,PublicPhone,SeatsCount,Longitude_WGS84,Latitude_WGS84
Восток Трейд,Северный административный округ,Савёловский район,"4-й Вятский переулок, дом 21",(495) 685-46-44,48,37.5746817599999760,55.8004687700000090
Мияки,Северный административный округ,Савёловский район,"Бутырская улица, дом 77, строение 2",(926) 216-75-65,42,37.5820476740000230,55.8044484430000130
Seasons,Юго-Западный административный округ,Обручевский район,"Ленинский проспект, дом 109",(495) 988-51-52,100,37.5112978768212460,55.6637832242678100
РУНО,Южный административный округ,Нагорный район,"Варшавское шоссе, дом 71, корпус 3",(915) 003-47-07,110,37.6214961917843670,55.6610410373976660
Реальные кабаны,Центральный административный округ,Тверской район,"Новослободская улица, дом 46",(499) 972-44-12,150,37.5954304453962000,55.7858292163568000
Ресторан Хинкальная,Северо-Восточный административный округ,район Свиблово,"проспект Мира, дом 211, корпус 2",(495) 665-14-44,25,37.6661392675453000,55.8456097724274000
Буфет,Центральный административный округ,Таганский район,"улица Александра Солженицына, дом 46",(495) 988-28-57,65,37.6679148899142000,55.7458816052860000
Академический,Центральный административный округ,район Якиманка,"Донская улица, дом 1",(495) 532-47-23,170,37.6109394060202000,55.7271203375218000
Ресторан «Джаганат»,Центральный административный округ,Мещанский район,"улица Кузнецкий Мост, дом 11, строение 1",(495) 621-17-36,45,37.6219630626100000,55.7621413964318000
Грабли,Центральный административный округ,Тверской район,"Цветной бульвар, дом 11, строение 2",(495) 621-07-80,100,37.6208338416253000,55.7699415339292000
Сытый лось,Южный административный округ,район Нагатино-Садовники,"Коломенский проезд, дом 10",(499) 612-78-18,92,37.6511054860179000,55.6656777256421000
Честная кухня,Центральный административный округ,Басманный район,"Большой Харитоньевский переулок, дом 25",(495) 607-50-90,80,37.6516660677021000,55.7666920698115000
СЕВГИЛИМ,Юго-Западный административный округ,район Котловка,"Большая Черёмушкинская улица, дом 5, корпус 1",(499) 127-05-51,200,37.5982549575387000,55.6890880211515000
Япоша,Западный административный округ,район Дорогомилово,"улица Генерала Ермолова, дом 4",(499) 148-98-00,60,37.5178411176763000,55.7350313707377000
Лав-ресторанс в ТЦ «Метрополис»,Северный административный округ,Войковский район,"Ленинградское шоссе, дом 16А, строение 4",(495) 799-66-66,132,37.4976216543964180,55.8232468269414920
"Ресторан, бар «Мандарин»",Центральный административный округ,Тверской район,"Малый Черкасский переулок, дом 2",(495) 745-07-00,120,37.6261077374650200,55.7583546502838700
Ресторан «Барнаба»,Западный административный округ,район Крылатское,"улица Крылатские Холмы, дом 33, корпус 3",(495) 532-37-77,70,37.4190112577508000,55.7582834917253000
Ресторан «Инсолито»,Центральный административный округ,Мещанский район,"улица Рождественка, дом 5/7, строение 2",(925) 504-51-06,60,37.6223073161104000,55.7609101191132000
"Ресторан «Джонджоли, Песто»",Западный административный округ,район Крылатское,"Осенний бульвар, дом 10",(495) 730-10-13,140,37.4087217079564000,55.7578088437095000
Ресторан ТАНУКИ,Северо-Восточный административный округ,район Бибирево,"улица Пришвина, дом 9/2",(916) 585-74-06,70,37.5974961744376000,55.8891257903899000
Япоша,Центральный административный округ,Тверской район,"Страстной бульвар, дом 4, строение 1",(495) 694-39-56,140,37.6076510157843000,55.7654004177040000
РЕСТОРАН «ИСКУШЕНИЕ ВОСТОКА»,Северо-Западный административный округ,район Щукино,"улица Маршала Бирюзова, дом 32",(495) 788-82-92,55,37.4829980360093000,55.7996268056800000
Витязь,Южный административный округ,Донской район,"Ленинский проспект, дом 37",(495) 649-46-88,96,37.5871463643617790,55.7098934300664080
Ggraf,Центральный административный округ,район Якиманка,"4-й Добрынинский переулок, дом 8",(495) 989-46-48,90,37.6195653902108000,55.7278090946741000
Ресторан Васаби,Северо-Восточный административный округ,Бутырский район,"улица Яблочкова, дом 21А",(495) 527-62-67,80,37.5784149395062000,55.8195376314550000
Кафе «Пицца Доминос»,Центральный административный округ,Пресненский район,"Большой Тишинский переулок, дом 38, строение 2",(495) 925-88-18,25,37.5694819185302860,55.7695823553642920
Авиатор,Центральный административный округ,Таганский район,"улица Земляной Вал, дом 52/16, строение 2",(495) 604-17-71,80,37.6547130571430000,55.7488224286410000
Ресторан «Якитория»,Центральный административный округ,Пресненский район,"Шмитовский проезд, дом 16, строение 2",(495) 735-25-27,50,37.5477374395646210,55.7580730304394120
Ресторан «Обломов»,Центральный административный округ,Пресненский район,"улица 1905 Года, дом 2, строение 1",(499) 255-92-90,45,37.5602922677982110,55.7557289252414560
Ресторан «Сайгон»,Северо-Западный административный округ,район Покровское-Стрешнево,"улица Свободы, дом 24/9",(495) 491-19-03,30,37.4543305860588000,55.8342027254112000
Да Пино,Центральный административный округ,Тверской район,"Делегатская улица, дом 7, строение 1",(495) 748-16-48,145,37.6121327557448000,55.7757275461562000
